Table 5.9.5. Gross Government Fixed Investment by Type
Table 5.9.5. Gross Government Fixed Investment by Type
"Last Revised on: September 26, 2025"
Line,,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
20,"                Educational",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.6,0.7,0.7,0.7,0.7,0.8,0.4,0.3,0.3,0.4,0.5,0.8,0.7,0.8,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.4,0.3,0.2,0.3,0.2,0.1,0.1,0.1,0.2,0.4
21,"                Public safety",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.6,0.6,0.7,1.0,1.0,1.1,1.2,1.2,1.1,1.5,0.9,1.3,1.3,0.7,0.8,1.2,1.4,1.8,2.1,2.0,1.9,1.9,2.0,2.0,1.9,1.7,1.2,1.3,0.8,0.5,0.3,0.2,0.5,0.5,0.5,0.4,0.8,0.6,0.2,0.2,0.1,0.3,0.5,0.4,2.0,6.3,1.9,0.5,0.5,0.6
22,"                Amusement and recreation",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.4,0.4,0.4,0.3,0.2,0.1,0.2,0.2,0.3,0.6,0.5,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.6,1.0,1.0
23,"                Transportation",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.4,0.4,0.4,0.4,0.6,0.3,0.4,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.2,0.3,0.2,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.8,1.1,0.7
24,"                Power",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.9,0.9,0.8,0.8,0.4,0.8,0.9,0.9,1.3,1.2,1.1,1.1,1.6,1.3,0.7,0.5,0.3,0.2,0.3,0.5,0.7,0.8
25,"                Highways and streets",0.1,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.1,0.2,0.1,0.2,0.2,0.2,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.4,0.6,0.5,0.6,0.6,0.7,0.5,0.5,0.7,0.6,0.6,0.9,0.6,0.5,0.6,0.4,0.4,0.6,0.8,0.7,1.0,0.7,0.9,1.5,1.6,1.7
26,"                Conservation and development",0.1,0.1,0.2,0.2,0.3,0.4,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.1,0.1,0.2,0.2,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.4,0.5,0.6,0.6,0.6,0.7,0.8,0.9,0.9,0.9,1.0,1.1,1.0,0.9,0.9,1.0,1.2,1.3,1.4,1.5,1.8,1.9,2.1,2.7,2.8,3.1,3.3,3.1,3.0,2.6,2.9,2.4,2.7,2.7,2.8,2.5,2.6,3.2,3.2,3.2,3.1,2.3,1.7,1.8,2.0,2.0,2.3,2.5,2.6,2.4,2.6,3.1,3.1,3.1,3.9,5.3,5.4,4.1,3.5,4.2,4.6,4.5,4.2,4.6,6.0,5.6,4.8,5.5,7.4,7.1
27,"                Other4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.3,0.3,0.3,0.6,0.6,0.8,0.7,0.8,0.8,0.6,0.6,0.6,0.7,0.7,0.7,0.8,0.7,1.4,1.7,1.6,1.2,1.1,1.2,1.4,1.3,1.3,1.2,1.3,1.2,0.8,0.8,0.6,0.5,0.6,0.8,1.0,1.5
28,"            Net purchases of used structures",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0,-0.1,0.0,0.0,-0.1,0.0,0.0,-0.3,-0.2,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.1,-0.1,0.0,0.1,0.0,-0.1,0.1,0.3,1.1,0.9,-0.5,-0.4,-0.2,-0.4,-0.3,0.3,-0.7,-0.6,-0.1,-0.3,0.9,0.9,-1.1,-1.1,0.1,-0.2,-1.5,-2.6,-1.2,0.0,1.1,0.3,1.5,-0.5,-0.4,-0.5,-0.2,-0.7,-1.1,-2.7,-0.9,-0.6,-1.8,-0.5,0.2,0.2,-1.0
29,"    State and local",2.4,2.7,2.4,1.6,1.2,1.6,1.5,2.8,2.4,2.8,3.1,2.6,2.1,1.4,0.8,0.6,0.7,1.4,2.5,3.6,4.9,5.4,6.4,6.7,7.3,8.5,9.3,10.4,11.5,12.5,12.8,12.7,13.8,14.5,16.0,17.2,19.0,21.0,23.0,25.2,25.6,25.8,27.0,27.1,29.1,34.7,38.1,38.1,36.9,42.8,49.0,55.1,55.4,54.2,54.2,60.5,67.6,74.2,78.8,84.8,88.7,98.5,103.2,104.2,104.5,108.7,117.3,126.8,136.6,146.1,159.7,174.6,190.6,204.1,211.1,219.1,231.5,251.4,271.4,284.5,288.9,279.8,273.4,265.0,259.3,266.1,281.4,292.5,304.9,324.9,344.8,350.9,343.0,364.7,422.0,463.9
30,"        New",2.3,2.6,2.4,1.5,1.1,1.6,1.4,2.7,2.3,2.7,3.1,2.4,2.0,1.4,0.7,0.6,0.7,1.4,2.5,3.5,4.8,5.2,6.3,6.6,7.1,8.3,8.9,10.0,11.1,12.1,12.3,12.2,13.3,14.0,15.4,16.5,18.0,20.0,22.1,24.2,24.7,24.8,25.9,26.1,28.1,33.7,37.2,37.2,36.0,42.0,48.1,54.0,54.3,53.1,52.9,59.0,65.8,72.2,76.6,82.5,86.0,95.4,99.9,101.1,101.5,105.8,114.2,123.9,133.7,142.6,155.7,170.6,189.2,198.8,205.2,213.3,226.7,246.2,264.5,278.3,283.5,275.1,269.5,261.8,256.1,263.1,278.2,289.0,301.0,320.8,340.3,345.9,338.0,359.6,416.5,458.0
