bea_code,panel_year,den_m_2024,num_m_2024
3340,2023,5849.6687501851475,0
3340,2024,6773,0
3350,2015,900.1094362406494,0
3350,2016,819.2100995208257,0
3350,2017,750.26786,0
3350,2018,1022.4767628046731,0
3350,2019,902.1583492461596,0
3350,2020,684.5076741661363,0
3350,2021,908.7452344082516,0
3350,2022,1346.2245193655938,0
3350,2023,1282.8570963059515,0
3350,2024,1471,0
336M,2015,4783.123650467157,0
336M,2016,3672.654032026867,0
336M,2017,5476.820680000001,0
336M,2018,6744.61885464645,0
336M,2019,4279.173787062635,0
336M,2020,4724.741736233294,0
336M,2021,6280.710351635017,0
336M,2022,5973.5434051039165,0
336M,2023,5694.050004443524,0
336M,2024,6622,0
336O,2015,2719.626213939971,0
336O,2016,2972.0501085309415,0
336O,2017,3617.98828,0
336O,2018,3754.406863423409,0
336O,2019,3181.227881171564,0
336O,2020,3074.6118182158502,0
336O,2021,2723.7961187028536,0
336O,2022,2569.6834356401705,0
336O,2023,2448.0025772432386,0
336O,2024,2790,0
3370,2015,332.199654110255,0
3370,2016,369.609943891551,0
3370,2017,658.67322,0
3370,2018,635.0539268982149,0
3370,2019,630.8710158558251,0
3370,2020,776.5317261258564,0
3370,2021,796.5243464007897,0
3370,2022,795.3532234443647,0
3370,2023,757.1450513967475,0
3370,2024,841,0
3380,2015,999.3558059333396,0
3380,2016,984.7070893230127,0
3380,2017,839.16854,0
3380,2018,1059.7545614485934,0
3380,2019,1394.826383940871,0
3380,2020,1403.0516415228542,0
3380,2021,1407.640269137077,0
3380,2022,1194.0791138254447,0
3380,2023,1138.2114672512369,0
3380,2024,1298,0
3390,2015,372.17388634758856,0
3390,2016,428.91303190400134,0
3390,2017,451.23830000000004,0
3390,2018,468.6351829521418,0
3390,2019,392.8547705227958,0
3390,2020,485.3323288286602,0
3390,2021,564.7638168201618,0
3390,2022,367.2475306141526,0
3390,2023,350.14217791865394,0
3390,2024,399,0
3110,2015,6757.023669910664,0
3110,2016,7570.108141868371,0
3110,2017,7661.622240000001,0
3110,2018,9565.749402020281,0
3110,2019,8683.75398295665,0
3110,2020,9692.77993860667,0
3110,2021,8505.611435609046,0
3110,2022,8185.422818060013,0
3110,2023,7800.8884083301255,0
3110,2024,9015,0
3120,2015,1455.6134221594575,0
3120,2016,1740.4766760863333,0
3120,2017,1854.7914600000001,0
3120,2018,1628.240990768379,0
3120,2019,1438.3347298619624,0
3120,2020,1249.2580204394865,0
3120,2021,1479.6080125331666,0
3120,2022,1290.612750444022,0
3120,2023,1229.9866249962972,0
3120,2024,1389,0
313T,2015,434.20286740552,0
313T,2016,278.58659950034814,0
313T,2017,400.05306,0
313T,2018,366.1212366813608,0
313T,2019,392.8547705227958,0
313T,2020,323.9750870362745,0
313T,2021,354.95954793664595,0
313T,2022,450.14054466706136,0
313T,2023,429.94666291435857,0
313T,2024,494,0
315A,2015,82.7053080772419,0
315A,2016,64.81965433918991,0
315A,2017,91.59464,0
315A,2018,93.19449660980094,0
315A,2019,65.26251888163708,0
315A,2020,65.5513794781567,0
315A,2021,74.40732791799107,0
315A,2022,64.00599819275232,0
315A,2023,60.85091980922476,0
315A,2024,61,0
3220,2015,1987.6842374563803,0
3220,2016,1343.2839005610845,0
3220,2017,2000.2653,0
3220,2018,1616.258841204262,0
3220,2019,2537.5602929860065,0
3220,2020,2097.6441433010145,0
3220,2021,1860.1831979497767,0
3220,2022,2405.9959648521485,0
3220,2023,2294.3789436265074,0
3220,2024,2653,0
3230,2015,401.1207441746232,0
3230,2016,395.81363394356396,0
3230,2017,645.20342,0
3230,2018,861.3834186648743,0
3230,2019,523.3798082860699,0
3230,2020,525.6716392767567,0
3230,2021,694.0617964809331,0
3230,2022,626.4193593618546,0
3230,2023,597.5360814053382,0
3230,2024,693,0
3240,2015,10668.984741964205,0
3240,2016,7512.184195437605,0
3240,2017,5699.0723800000005,0
3240,2018,5482.499100559432,0
3240,2019,3984.8526234787814,0
3240,2020,1989.2322464717554,0
3240,2021,2139.515625707481,0
3240,2022,2249.653444676409,0
3240,2023,2143.747978197115,0
3240,2024,2481,0
3250,2015,11479.496761121176,0
3250,2016,10422.172932792728,0
3250,2017,11701.21526,0
3250,2018,11629.341826951588,0
3250,2019,14259.220547021216,0
3250,2020,13473.32968966421,0
3250,2021,15875.596276273012,0
3250,2022,12727.75013242763,0
3250,2023,12132.276831471992,0
3250,2024,14064,0
3260,2015,1734.0546260195051,0
3260,2016,2904.472171028382,0
3260,2017,3015.8882200000003,0
3260,2018,2865.0650957755943,0
3260,2019,2927.8557490428557,0
3260,2020,2944.7696627110395,0
3260,2021,3075.096289856647,0
3260,2022,2164.6618733057053,0
3260,2023,2062.945937138964,0
3260,2024,2398,0
4210,2015,11196.920291857266,0
4210,2016,13681.084490314126,0
4210,2017,12270.9878,0
4210,2018,13181.695870480557,0
4210,2019,10198.868146797011,0
4210,2020,9334.768558379816,0
4210,2021,11741.720303911181,0
4210,2022,14431.7786744773,0
4210,2023,16581.376869982523,0
4210,2024,15005,0
4220,2015,11559.445225595842,0
4220,2016,11976.4654953516,0
4220,2017,10584.56884,0
4220,2018,9191.640065629508,0
4220,2019,8338.246530053866,0
4220,2020,9847.834163141542,0
4220,2021,11098.889782390177,0
4220,2022,14040.397734708504,0
4220,2023,17624.82051130136,0
4220,2024,16058,0
4410,2015,3764.469939315794,0
4410,2016,4960.772269320556,0
4410,2017,4913.78304,0
4410,2018,4489.312036689268,0
4410,2019,3945.18324925661,0
4410,2020,3591.4592333320857,0
4410,2021,3699.629927463392,0
4410,2022,4744.838095534852,0
4410,2023,5290.039799152769,0
4410,2024,4946,0
4450,2015,5560.55354639323,0
4450,2016,7422.539992628087,0
4450,2017,6738.94094,0
4450,2018,7378.341431593097,0
4450,2019,5721.347488623517,0
4450,2020,5589.515703964362,0
