"year","lower","central","upper"
170.1,0.126910160002138,0.19524281674893,0.263575473495722
170.15,0.126910160622249,0.195242817702929,0.26357547478361
170.2,0.126910161244117,0.195242818659633,0.263575476075148
170.25,0.126910161867749,0.195242819619049,0.263575477370349
170.3,0.126910162493147,0.195242820581182,0.263575478669216
170.35,0.126910163120316,0.195242821546039,0.263575479971762
170.4,0.12691016374926,0.195242822513627,0.263575481277995
170.45,0.126910164379984,0.195242823483954,0.263575482587925
170.5,0.126910165012493,0.195242824457027,0.263575483901561
170.55,0.126910165646789,0.19524282543285,0.26357548521891
170.6,0.126910166282879,0.195242826411431,0.263575486539983
170.65,0.126910166920766,0.195242827392778,0.26357548786479
170.7,0.126910167560455,0.195242828376896,0.263575489193338
170.75,0.126910168201949,0.195242829363793,0.263575490525637
170.8,0.126910168845255,0.195242830353476,0.263575491861697
170.85,0.126910169490376,0.195242831345951,0.263575493201526
170.9,0.126910170137315,0.195242832341225,0.263575494545134
170.95,0.126910170786079,0.195242833339304,0.26357549589253
171,0.126910171436671,0.195242834340196,0.263575497243722
171.05,0.126910172089096,0.195242835343908,0.263575498598721
171.1,0.126910172743356,0.195242836350445,0.263575499957534
171.15,0.126910173399459,0.195242837359815,0.263575501320172
171.2,0.126910174057407,0.195242838372024,0.263575502686642
171.25,0.126910174717206,0.195242839387081,0.263575504056956
171.3,0.126910175378859,0.19524284040499,0.263575505431122
171.35,0.126910176042372,0.19524284142576,0.263575506809148
171.4,0.126910176707747,0.195242842449396,0.263575508191044
171.45,0.126910177374991,0.195242843475905,0.26357550957682
171.5,0.126910178044107,0.195242844505296,0.263575510966485
171.55,0.126910178715098,0.195242845537572,0.263575512360045
171.6,0.126910179387972,0.195242846572742,0.263575513757513
171.65,0.12691018006273,0.195242847610814,0.263575515158897
171.7,0.126910180739379,0.195242848651793,0.263575516564206
171.75,0.126910181417921,0.195242849695685,0.263575517973448
171.8,0.126910182098363,0.195242850742498,0.263575519386634
171.85,0.126910182780707,0.195242851792239,0.263575520803772
171.9,0.126910183464959,0.195242852844915,0.263575522224871
171.95,0.126910184151122,0.195242853900532,0.263575523649941
172,0.126910184839201,0.195242854959096,0.26357552507899
172.05,0.126910185529202,0.195242856020615,0.263575526512028
172.1,0.126910186221126,0.195242857085095,0.263575527949064
172.15,0.126910186914981,0.195242858152544,0.263575529390108
172.2,0.126910187610769,0.195242859222967,0.263575530835166
172.25,0.126910188308494,0.195242860296371,0.263575532284249
172.3,0.126910189008163,0.195242861372765,0.263575533737368
172.35,0.126910189709778,0.195242862452153,0.263575535194528
172.4,0.126910190413344,0.195242863534543,0.263575536655741
172.45,0.126910191118866,0.195242864619941,0.263575538121016
172.5,0.126910191826347,0.195242865708354,0.26357553959036
172.55,0.126910192535793,0.195242866799789,0.263575541063784
172.6,0.126910193247207,0.195242867894252,0.263575542541297
172.65,0.126910193960594,0.195242868991751,0.263575544022907
172.7,0.126910194675959,0.195242870092291,0.263575545508623
172.75,0.126910195393305,0.19524287119588,0.263575546998455
172.8,0.126910196112637,0.195242872302524,0.263575548492412
172.85,0.126910196833958,0.19524287341223,0.263575549990501
172.9,0.126910197557275,0.195242874525004,0.263575551492733
172.95,0.12691019828259,0.195242875640852,0.263575552999115
173,0.126910199009909,0.195242876759784,0.263575554509659
173.05,0.126910199739235,0.195242877881803,0.263575556024372
173.1,0.126910200470572,0.195242879006917,0.263575557543262
173.15,0.126910201203926,0.195242880135132,0.263575559066339
173.2,0.126910201939299,0.195242881266456,0.263575560593613
173.25,0.126910202676697,0.195242882400894,0.26357556212509
173.3,0.126910203416124,0.195242883538453,0.263575563660781
173.35,0.126910204157585,0.19524288467914,0.263575565200696
173.4,0.126910204901082,0.195242885822962,0.263575566744841
173.45,0.126910205646621,0.195242886969924,0.263575568293226
173.5,0.126910206394206,0.195242888120033,0.26357556984586
173.55,0.126910207143841,0.195242889273296,0.263575571402751
173.6,0.12691020789553,0.19524289042972,0.263575572963909
173.65,0.126910208649278,0.19524289158931,0.263575574529343
173.7,0.126910209405088,0.195242892752074,0.26357557609906
173.75,0.126910210162965,0.195242893918016,0.263575577673068
173.8,0.126910210922913,0.195242895087146,0.263575579251379
173.85,0.126910211684936,0.195242896259468,0.263575580834001
173.9,0.126910212449038,0.195242897434989,0.263575582420939
173.95,0.126910213215224,0.195242898613714,0.263575584012205
174,0.126910213983498,0.195242899795653,0.263575585607807
174.05,0.126910214753864,0.195242900980809,0.263575587207754
174.1,0.126910215526325,0.195242902169188,0.263575588812052
174.15,0.126910216300886,0.1952429033608,0.263575590420713
174.2,0.126910217077551,0.195242904555646,0.263575592033742
174.25,0.126910217856325,0.195242905753738,0.263575593651151
174.3,0.126910218637211,0.195242906955079,0.263575595272948
174.35,0.126910219420213,0.195242908159675,0.263575596899138
174.4,0.126910220205335,0.195242909367534,0.263575598529732
174.45,0.126910220992582,0.19524291057866,0.263575600164739
174.5,0.126910221781958,0.195242911793062,0.263575601804167
174.55,0.126910222573465,0.195242913010744,0.263575603448023
174.6,0.126910223367109,0.195242914231712,0.263575605096316
174.65,0.126910224162894,0.195242915455974,0.263575606749054
174.7,0.126910224960823,0.195242916683534,0.263575608406246
174.75,0.1269102257609,0.1952429179144,0.2635756100679
174.8,0.12691022656313,0.195242919148576,0.263575611734023
174.85,0.126910227367516,0.195242920386071,0.263575613404626
174.9,0.126910228174061,0.195242921626887,0.263575615079713
174.95,0.126910228982772,0.195242922871034,0.263575616759297
175,0.126910229793649,0.195242924118516,0.263575618443382
175.05,0.126910230606699,0.195242925369338,0.263575620131977
175.1,0.126910231421924,0.195242926623507,0.263575621825091
175.15,0.126910232239329,0.19524292788103,0.263575623522731
175.2,0.126910233058917,0.195242929141911,0.263575625224906
175.25,0.126910233880691,0.195242930406157,0.263575626931623
175.3,0.126910234704657,0.195242931673774,0.263575628642891
175.35,0.126910235530817,0.195242932944766,0.263575630358715
175.4,0.126910236359176,0.195242934219141,0.263575632079105
175.45,0.126910237189737,0.195242935496903,0.263575633804069
175.5,0.126910238022503,0.195242936778059,0.263575635533614
175.55,0.126910238857479,0.195242938062614,0.263575637267748
175.6,0.126910239694668,0.195242939350573,0.263575639006477
175.65,0.126910240534074,0.195242940641943,0.263575640749812
175.7,0.1269102413757,0.195242941936729,0.263575642497757
175.75,0.12691024221955,0.195242943234936,0.263575644250321
175.8,0.126910243065629,0.19524294453657,0.263575646007512
175.85,0.126910243913937,0.195242945841637,0.263575647769336
