year,go_line,go_label,num_m_2024,den_m_2024,phi_aggregated,s,contribution
2022,46,Pipeline transportation,1668.5326979866288,9244.14498488767,0.18049616278350747,0.002671313318953275,4.8216180366354196e-4
2022,47,Other transportation and support activities,0,7097.3208487832235,0,0.015214204017716641,0
2022,48,Warehousing and storage,0,4995.615695011373,0,0.006850997520591374,0
2022,81,"Arts, entertainment, recreation, accommodation, and food services",0,14593.367587947527,0,0.07640109615960329,0
2023,3,"Agriculture, forestry, fishing, and hunting",0,1203.052611310247,0,0.02294015065710228,0
2023,7,Oil and gas extraction,0,95531.95387623309,0,0.016816784423709617,0
2023,8,"Mining, except oil and gas",3404.196803625915,18466.757828006044,0.18434187718990003,0.005080632112615286,9.365732609507893e-4
2023,9,Support activities for mining,0,12803.632061498358,0,0.004156553943512576,0
2023,10,Utilities,75091.6838729745,153635.60428948072,0.48876485512750356,0.02321701454434317,0.011347660750259033
2023,11,Construction,0,8437.32917617087,0,0.0858997177426604,0
2023,41,Air transportation,0,4730.41084812039,0,0.011182424536612553,0
2023,42,Rail transportation,0,11347.200210326748,0,0.00331517537709221,0
2023,43,Water transportation,0,291.2863702343218,0,0.0025816658576488143,0
2023,45,Transit and ground passenger transportation,0,617.4872026542644,0,0.005235244413282275,0
2023,46,Pipeline transportation,394.03464466629146,10582.07471043043,0.03723604826546003,0.0025672833180518852,9.559548554209038e-5
2023,47,Other transportation and support activities,0,7824.829753828836,0,0.012591913417111626,0
2023,48,Warehousing and storage,0,7204.349882987233,0,0.006493716628013592,0
2023,81,"Arts, entertainment, recreation, accommodation, and food services",59.853363746778456,16476.633483425663,0.0036326209360053275,0.07901767254552973,2.870412516033047e-4
2024,3,"Agriculture, forestry, fishing, and hunting",0,1160,0,0.02163287596422964,0
2024,7,Oil and gas extraction,2100,92444,0.02271645536757388,0.01556420233463035,3.5356350766651954e-4
2024,8,"Mining, except oil and gas",4686,18888,0.24809402795425667,0.004775069970646461,0.0011846663427810945
2024,9,Support activities for mining,0,13663,0,0.003775001706601133,0
2024,10,Utilities,46068.7,162930,0.2827514883692383,0.021957130179534438,0.006208411238580483
2024,11,Construction,0,8708,0,0.08572257491978974,0
2024,41,Air transportation,0,5037,0,0.011239675063144243,0
2024,42,Rail transportation,0,11310,0,0.003157212096388832,0
2024,43,Water transportation,0,309,0,0.0026486449587002523,0
